example,condition,source,source_offset_seconds,applied_gain,output,sha256,sample_rate_hz,channels,duration_seconds
minuetto,input,/data/steven/restor/reports/listening_test_table5/golisten_babe2_25/staged_audio/light_minuetto_80/INPUT.wav,0,0.891250938,public/audio/historical/minuetto/input.mp3,3d0552b246b8f043f9aa508da998d384f753fd4302a7b689c8e0c6f9f56b8c73,44100,2,5.041633
minuetto,babe2-p,/data/steven/restor/reports/listening_test_table5/golisten_babe2_25/staged_audio/light_minuetto_80/BABE2_PRETRAINED.wav,0,0.891250938,public/audio/historical/minuetto/babe2-p.mp3,6d446f8240170fb25e5989d28299b8104634177dced7a896c67ddd676ea31d94,44100,2,5.041633
minuetto,babe2-fms,/data/steven/restor/reports/listening_test_table5/golisten_babe2_25/staged_audio/light_minuetto_80/BABE2_FMS.wav,0,0.891250938,public/audio/historical/minuetto/babe2-fms.mp3,dc5fba7a93b7d4c649815761200d1b771457305efc9cb3137956495ac9af1a37,44100,2,5.041633
minuetto,samecfm,/data/steven/restor/reports/listening_test_table5/golisten_babe2_25/staged_audio/light_minuetto_80/CFM40.wav,0,0.891250938,public/audio/historical/minuetto/samecfm.mp3,0aec7feac992e6330907c5ae2dac108a19bc65ea722972f35c31fcdad113bddc,44100,2,5.041633
minuetto,behm-p,/data/steven/restor/IA_test_set_inference_outputs/behm/denoiser_only_44k_compat/78_minuetto_american-symphony-orchestra-g-bolzoni_gbia0078138a.flac,80.0,0.87342591924,public/audio/historical/minuetto/behm-p.mp3,f1ffbbcfc175554d141587a51eb3985002e14acd99e55038e80e873096b86ac8,44100,2,5.041633
minuetto,behm-fms,/data/steven/restor/IA_test_set_inference_outputs/behm/fms_leakless/78_minuetto_american-symphony-orchestra-g-bolzoni_gbia0078138a.flac,80.0,0.87342591924,public/audio/historical/minuetto/behm-fms.mp3,4bad53261a824885ae09cbcf1947c0609898d00ae4e78593bc464e708d9e7bc8,44100,2,5.041633
scented-violets,input,/data/steven/restor/reports/listening_test_table5/golisten_babe2_25/staged_audio/light_scented_violets_50/INPUT.wav,0,0.891250938,public/audio/historical/scented-violets/input.mp3,71760bbb547d146001618bf7bcdff3bb1f20e7893e80ebf58afed6bd1d4a13e2,44100,2,5.041633
scented-violets,babe2-p,/data/steven/restor/reports/listening_test_table5/golisten_babe2_25/staged_audio/light_scented_violets_50/BABE2_PRETRAINED.wav,0,0.891250938,public/audio/historical/scented-violets/babe2-p.mp3,108003d99fec29fd39cf4b0ec3757840d9d90ca05148ce8ac3dec091229d4e3e,44100,2,5.041633
scented-violets,babe2-fms,/data/steven/restor/reports/listening_test_table5/golisten_babe2_25/staged_audio/light_scented_violets_50/BABE2_FMS.wav,0,0.891250938,public/audio/historical/scented-violets/babe2-fms.mp3,80cf767f037b659ba624a521951540b610e4fadd8547446d68459adc338d2e49,44100,2,5.041633
scented-violets,samecfm,/data/steven/restor/reports/listening_test_table5/golisten_babe2_25/staged_audio/light_scented_violets_50/CFM40.wav,0,0.891250938,public/audio/historical/scented-violets/samecfm.mp3,5179ceb4c2f9fb8a05d9bf0186e23a573620c82737320ca31d8e772a4a22678a,44100,2,5.041633
scented-violets,behm-p,/data/steven/restor/IA_test_set_inference_outputs/behm/denoiser_only_44k_compat/78_scented-violets_peerless-orchestra-jules-reynard_gbia0178673b.flac,50.0,0.87342591924,public/audio/historical/scented-violets/behm-p.mp3,b3039d2327244cca74de11314c1ff15c7f961e81956d64191967d234d343651f,44100,2,5.041633
scented-violets,behm-fms,/data/steven/restor/IA_test_set_inference_outputs/behm/fms_leakless/78_scented-violets_peerless-orchestra-jules-reynard_gbia0178673b.flac,50.0,0.87342591924,public/audio/historical/scented-violets/behm-fms.mp3,db5b25e537b26167d1e8ca9bd24c44d6c62d899a45385a16aa6f049d44604ba4,44100,2,5.041633
lady-bird,input,/data/steven/restor/reports/listening_test_table5/golisten_babe2_25/staged_audio/light_lady_bird_95/INPUT.wav,0,0.891250938,public/audio/historical/lady-bird/input.mp3,ad842fad5399871157dde6178fd4efe7550553fcc11253273a270e8111d311fa,44100,2,5.041633
lady-bird,babe2-p,/data/steven/restor/reports/listening_test_table5/golisten_babe2_25/staged_audio/light_lady_bird_95/BABE2_PRETRAINED.wav,0,0.891250938,public/audio/historical/lady-bird/babe2-p.mp3,d753162158b14d4e9b9a7374687e237be4e7593b9b6ab63b4ffd23c0bb357f2b,44100,2,5.041633
lady-bird,babe2-fms,/data/steven/restor/reports/listening_test_table5/golisten_babe2_25/staged_audio/light_lady_bird_95/BABE2_FMS.wav,0,0.891250938,public/audio/historical/lady-bird/babe2-fms.mp3,cb7ad12a2442af066819403b4fe0b6c3213fd272a6e826fb9bb127efbe93eacd,44100,2,5.041633
lady-bird,samecfm,/data/steven/restor/reports/listening_test_table5/golisten_babe2_25/staged_audio/light_lady_bird_95/CFM40.wav,0,0.891250938,public/audio/historical/lady-bird/samecfm.mp3,e145825c430500c43db792e876df80e7ce7605264d2488fcf4a075c4dfd157ce,44100,2,5.041633
lady-bird,behm-p,/data/steven/restor/IA_test_set_inference_outputs/behm/denoiser_only_44k_compat/78_lady-bird-tango_the-peerless-orchestra-p-s-robinson_gbia3038426b.flac,95.0,0.891250938,public/audio/historical/lady-bird/behm-p.mp3,291201d78f0a24f20b8fb89bbf525db4aad61e95956f6da5eb14da6694a353a1,44100,2,5.041633
lady-bird,behm-fms,/data/steven/restor/IA_test_set_inference_outputs/behm/fms_leakless/78_lady-bird-tango_the-peerless-orchestra-p-s-robinson_gbia3038426b.flac,95.0,0.891250938,public/audio/historical/lady-bird/behm-fms.mp3,13550f3f1aef3aeb0ca75ba12b286227c8f30e94e0c5082372123f26dc48542b,44100,2,5.041633
